Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
143344,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
147394,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
147411,0000035D,false,Rx,0,8,80,03,00,00,10,00,00,00,
151432,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E0,
151449,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
155561,00000180,false,Rx,0,8,14,82,32,23,3C,00,3B,11,
155575,00000280,false,Rx,0,8,03,3F,C0,00,00,00,D5,40,
155579,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
159669,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
159683,00000176,false,Rx,0,7,00,00,02,45,00,00,0B,00,
163738,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
163751,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
163755,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
167840,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
167854,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,0E,00,
171939,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E1,
171953,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
171956,00000560,false,Rx,0,3,46,15,39,00,00,00,00,00,
176049,000001F9,false,Rx,0,8,28,00,14,9B,00,00,51,A8,
176066,00000625,false,Rx,0,6,02,E0,FF,1D,20,00,00,00,
180156,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
180172,00000284,false,Rx,0,8,00,00,00,00,00,00,18,9E,
184243,00000174,false,Rx,0,8,FF,EF,FE,AA,0D,00,00,00,
184258,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
184262,00000180,false,Rx,0,8,14,9B,32,23,3C,00,3F,11,
188364,000001F9,false,Rx,0,8,28,00,14,9B,00,00,51,A8,
188382,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
192458,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E2,
192477,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
196596,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
196612,00000160,false,Rx,0,7,33,C3,22,00,08,FF,E8,00,
196617,00000182,false,Rx,0,8,00,00,00,00,00,10,40,CF,
200641,00000002,false,Rx,0,5,0D,00,00,07,93,00,00,00,
200657,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
200662,00000180,false,Rx,0,8,14,82,32,23,3C,00,3C,11,
204744,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
204760,00000182,false,Rx,0,8,00,00,00,00,00,11,40,CF,
208852,00000580,false,Rx,0,5,00,82,40,B2,6C,00,00,00,
208869,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
208874,00000354,false,Rx,0,8,00,00,00,00,00,18,14,00,
