Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
539493796,000001F9,false,Rx,0,8,28,00,13,EC,00,00,51,A8,
539493811,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
539493814,00000176,false,Rx,0,7,00,00,02,31,00,00,01,00,
539497879,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
539497894,00000002,false,Rx,0,5,0D,00,00,07,C6,00,00,00,
539497897,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E0,
539501947,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539501963,000001F9,false,Rx,0,8,28,00,13,EC,00,00,51,A8,
539506078,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D7,40,
539506096,00000174,false,Rx,0,8,FF,EF,FE,AA,03,00,00,00,
539510122,00000002,false,Rx,0,5,0D,00,00,07,D7,00,00,00,
539510136,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539514275,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
539514290,00000180,false,Rx,0,8,13,EC,32,03,3D,00,3B,11,
539514293,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
539518368,00000174,false,Rx,0,8,FF,EF,FE,AA,04,00,00,00,
539518384,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
539522457,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E1,
539522472,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539526563,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
539526576,00000174,false,Rx,0,8,FF,EF,FE,AA,02,00,00,00,
539530645,00000174,false,Rx,0,8,FF,EF,FE,AA,05,00,00,00,
539530659,00000002,false,Rx,0,5,0D,00,00,07,39,00,00,00,
539530663,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539535388,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
539535409,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
539535412,00000176,false,Rx,0,7,00,00,02,31,00,00,05,00,
539538856,0000054C,false,Rx,0,8,78,78,C0,00,00,80,04,08,
539538870,00000176,false,Rx,0,7,00,00,02,31,00,00,06,00,
539542961,00000180,false,Rx,0,8,13,EC,32,03,3D,00,3E,11,
539542982,000001F9,false,Rx,0,8,28,00,13,EC,00,00,51,A8,
539547342,00000280,false,Rx,0,8,03,3F,C0,00,00,00,D8,40,
539547367,00000174,false,Rx,0,8,FF,EF,FE,AA,06,00,00,00,
539551159,00000174,false,Rx,0,8,FF,EF,FE,AA,07,00,00,00,
539551186,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
539551189,000001F9,false,Rx,0,8,28,00,13,D3,00,00,51,A8,
539555283,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
539555304,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
539559355,00000174,false,Rx,0,8,FF,EF,FE,AA,08,00,00,00,
539559369,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539559372,00000176,false,Rx,0,7,00,00,02,35,00,00,07,00,
539563427,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539563441,000001F9,false,Rx,0,8,28,00,13,D3,00,00,51,A8,
539567522,00000280,false,Rx,0,8,03,3E,C0,00,00,00,DB,40,
539567535,00000285,false,Rx,0,8,00,00,00,00,00,00,86,0D,
539571638,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539571653,00000180,false,Rx,0,8,13,D3,32,03,3D,00,30,11,
539575985,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539576007,000001F9,false,Rx,0,8,28,00,13,D3,00,00,51,A8,
539576010,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
539579830,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E0,
539579844,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539583922,00000180,false,Rx,0,8,13,D3,32,03,3D,00,31,11,
539583942,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539588032,00000280,false,Rx,0,8,03,3E,C0,00,00,00,DC,40,
539588049,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
539592129,00000285,false,Rx,0,8,00,00,00,00,00,00,87,0E,
539592150,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
539592153,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
539596218,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
539596234,00000180,false,Rx,0,8,13,D3,32,03,3D,00,32,11,
539600314,00000174,false,Rx,0,8,FF,EF,FE,AA,0C,00,00,00,
539600335,00000002,false,Rx,0,5,0D,00,00,07,A0,00,00,00,
539600338,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539604432,000001F9,false,Rx,0,8,28,00,13,BA,00,00,51,A8,
539604452,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D8,40,
539608580,00000176,false,Rx,0,7,00,00,02,2F,00,00,0C,00,
539608601,00000174,false,Rx,0,8,FF,EF,FE,AA,0D,00,00,00,
539612610,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
539612624,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539617400,00000551,false,Rx,0,8,79,CB,00,80,FF,02,80,FF,
539617421,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
539617424,00000176,false,Rx,0,7,00,00,02,31,00,00,0D,00,
539620826,00000174,false,Rx,0,8,FF,EF,FE,AA,0E,00,00,00,
539620839,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539624904,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539624925,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
539629098,00000176,false,Rx,0,7,00,00,02,38,00,00,0E,00,
539629119,00000174,false,Rx,0,8,FF,EF,FE,AA,0F,00,00,00,
539633103,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
539633124,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
539633127,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539637206,00000182,false,Rx,0,8,00,00,00,00,00,17,40,CF,
539637229,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
539637233,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E3,
539641257,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539641278,00000176,false,Rx,0,7,00,00,02,33,00,00,0F,00,
539645325,00000160,false,Rx,0,7,33,D3,1F,00,08,FF,E8,00,
539645341,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D8,40,
539649404,00000176,false,Rx,0,7,00,00,02,33,00,00,01,00,
539649427,00000002,false,Rx,0,5,0D,00,00,07,F5,00,00,00,
539649433,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539653526,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
539653542,00000580,false,Rx,0,5,00,78,40,B2,6D,00,00,00,
539653547,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
539657632,00000180,false,Rx,0,8,13,EC,31,F3,3D,00,38,11,
539657648,00000174,false,Rx,0,8,FF,EF,FE,AA,02,00,00,00,
539661727,00000002,false,Rx,0,5,0D,00,00,07,C6,00,00,00,
539661742,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539665801,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539665817,00000182,false,Rx,0,8,00,00,00,00,00,1A,40,CF,
539669900,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D7,40,
539669916,00000174,false,Rx,0,8,FF,EF,FE,AA,03,00,00,00,
539669921,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
539674001,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
539674017,00000176,false,Rx,0,7,00,00,02,33,00,00,02,00,
539674022,0000035D,false,Rx,0,8,80,03,00,00,10,00,00,00,
539678112,00000180,false,Rx,0,8,13,D3,32,03,3D,00,3B,11,
539678128,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539682205,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539682223,00000280,false,Rx,0,8,03,3D,C0,00,00,00,DE,40,
539686303,000001F9,false,Rx,0,8,28,00,13,EC,00,00,51,A8,
539686319,00000174,false,Rx,0,8,FF,EF,FE,AA,05,00,00,00,
539690423,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
539690439,00000285,false,Rx,0,8,00,00,00,00,00,00,8C,13,
539694516,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539694534,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539698578,000001F9,false,Rx,0,8,28,00,13,EC,00,00,51,A8,
539698609,00000174,false,Rx,0,8,FF,EF,FE,AA,06,00,00,00,
539698614,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
539702680,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E2,
539702698,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539706800,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D9,40,
539706816,000001F9,false,Rx,0,8,28,00,13,EC,00,00,51,A8,
539710878,00000174,false,Rx,0,8,FF,EF,FE,AA,07,00,00,00,
539710895,00000002,false,Rx,0,5,0D,00,00,07,1B,00,00,00,
539710899,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
539714973,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539714989,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
539719050,00000180,false,Rx,0,8,13,D3,32,03,3D,00,3F,11,
539719067,00000551,false,Rx,0,8,79,CC,00,80,FF,02,80,FF,
539723152,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539723189,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539723195,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D6,40,
539727243,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
539727259,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539731350,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539731366,00000180,false,Rx,0,8,13,D3,32,03,3D,00,30,11,
539731370,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
539735452,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
539735468,0000054C,false,Rx,0,8,78,78,C0,00,00,80,04,08,
539739551,00000176,false,Rx,0,7,00,00,02,2F,00,00,0A,00,
539739567,00000292,false,Rx,0,8,FF,F8,13,80,0F,FE,0F,00,
539743626,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539743642,00000280,false,Rx,0,8,03,40,C0,00,00,00,DB,40,
539743648,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539747805,00000182,false,Rx,0,8,00,00,00,00,00,12,40,CF,
539747821,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
539751825,00000285,false,Rx,0,8,00,00,00,00,00,00,8F,16,
539751841,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
539755929,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
539755945,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539760005,00000180,false,Rx,0,8,13,EC,32,03,3D,00,33,11,
539760022,00000176,false,Rx,0,7,00,00,02,33,00,00,0C,00,
539764202,00000292,false,Rx,0,8,FF,F8,0D,80,0F,FE,0F,00,
539764222,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539764227,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D6,40,
539768251,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539768269,00000180,false,Rx,0,8,13,EC,32,03,3D,00,34,11,
539772303,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
539772320,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
539772325,00000160,false,Rx,0,7,33,D3,21,00,08,FF,E8,00,
539776442,0000035D,false,Rx,0,8,80,03,00,00,10,00,00,00,
539776458,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539780553,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539780571,000006E2,false,Rx,0,3,00,00,7A,00,00,00,00,00,
539780575,00000174,false,Rx,0,8,FF,EF,FE,AA,0E,00,00,00,
539784652,00000280,false,Rx,0,8,03,3F,C0,00,00,00,DA,40,
539784669,00000174,false,Rx,0,8,FF,EF,FE,AA,0F,00,00,00,
539788753,00000160,false,Rx,0,7,33,D3,21,00,08,FF,E8,00,
539788769,00000002,false,Rx,0,5,0D,00,00,07,93,00,00,00,
539792836,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539792851,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
539796931,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
539796944,00000176,false,Rx,0,7,00,00,02,33,00,00,0F,00,
539796947,00000174,false,Rx,0,8,FF,EF,FE,AA,00,00,00,00,
539800986,00000160,false,Rx,0,7,33,D3,22,00,08,FF,E8,00,
539801000,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
539801003,00000560,false,Rx,0,3,47,13,31,00,00,00,00,00,
539805393,00000280,false,Rx,0,8,03,3F,C0,00,00,00,DC,40,
539805415,00000176,false,Rx,0,7,00,00,02,33,00,00,00,00,
539809193,00000174,false,Rx,0,8,FF,EF,FE,AA,01,00,00,00,
539809207,00000160,false,Rx,0,7,33,D3,21,00,08,FF,E8,00,
539813313,00000625,false,Rx,0,6,02,E0,FF,1D,20,00,00,00,
539813333,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
539813337,00000176,false,Rx,0,7,00,00,02,2F,00,00,01,00,
539817402,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
539817416,00000174,false,Rx,0,8,FF,EF,FE,AA,02,00,00,00,
539821501,00000551,false,Rx,0,8,79,CC,00,80,FF,02,80,FF,
539821515,00000176,false,Rx,0,7,00,00,02,33,00,00,02,00,
539825781,00000280,false,Rx,0,8,03,3F,C0,00,00,00,D7,40,
539825802,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
539825807,00000174,false,Rx,0,8,FF,EF,FE,AA,03,00,00,00,
539829677,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
539829690,00000182,false,Rx,0,8,00,00,00,00,00,1A,40,CF,
539833848,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539833868,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
539837880,0000054C,false,Rx,0,8,78,78,C0,00,00,80,04,08,
539837894,00000174,false,Rx,0,8,FF,EF,FE,AA,04,00,00,00,
539842010,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
539842031,00000182,false,Rx,0,8,00,00,00,00,00,1B,40,CF,
539842034,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E1,
539846079,00000280,false,Rx,0,8,03,3D,C0,00,00,00,DB,40,
539846092,00000176,false,Rx,0,7,00,00,02,31,00,00,03,00,
539850185,00000174,false,Rx,0,8,FF,EF,FE,AA,05,00,00,00,
539850207,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
539854266,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
539854281,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
539854284,00000176,false,Rx,0,7,00,00,02,2F,00,00,05,00,
539858342,00000174,false,Rx,0,8,FF,EF,FE,AA,06,00,00,00,
539858355,00000182,false,Rx,0,8,00,00,00,00,00,1D,40,CF,
539862412,00000580,false,Rx,0,5,00,78,40,B6,6D,00,00,00,
539862428,00000176,false,Rx,0,7,00,00,02,35,00,00,06,00,
539866558,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D9,40,
539866572,00000174,false,Rx,0,8,FF,EF,FE,AA,07,00,00,00,
539870676,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
539870697,00000285,false,Rx,0,8,00,00,00,00,00,00,95,1C,
539870700,000001F9,false,Rx,0,8,28,00,13,EC,00,00,51,A8,
539874776,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
539874796,0000035D,false,Rx,0,8,80,03,00,00,10,00,00,00,
539878873,00000174,false,Rx,0,8,FF,EF,FE,AA,08,00,00,00,
539878887,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
539882947,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E3,
539882967,00000182,false,Rx,0,8,00,00,00,00,00,1F,40,CF,
539887341,00000280,false,Rx,0,8,03,3F,C0,00,00,00,D6,40,
539887364,00000176,false,Rx,0,7,00,00,02,2F,00,00,07,00,
539887368,00000174,false,Rx,0,8,FF,EF,FE,AA,09,00,00,00,
539891099,00000002,false,Rx,0,5,0D,00,00,07,7D,00,00,00,
539891118,00000284,false,Rx,0,8,00,00,00,00,00,00,96,1C,
539891123,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
539895192,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
539895207,00000176,false,Rx,0,7,00,00,02,33,00,00,09,00,
539899275,00000174,false,Rx,0,8,FF,EF,FE,AA,0A,00,00,00,
539899289,00000176,false,Rx,0,7,00,00,02,33,00,00,0A,00,
539903379,000001F9,false,Rx,0,8,28,00,13,D3,00,00,51,A8,
539903393,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
539907457,00000280,false,Rx,0,8,03,40,C0,00,00,00,DB,40,
539907472,00000174,false,Rx,0,8,FF,EF,FE,AA,0B,00,00,00,
539911580,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
539911593,000001F9,false,Rx,0,8,28,00,13,D3,00,00,51,A8,
539911598,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
539915655,00000176,false,Rx,0,7,00,00,02,2F,00,00,0B,00,
539915668,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
539919782,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
539919796,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,0E,00,
539919802,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539923856,00000182,false,Rx,0,8,00,00,00,00,00,13,40,CF,
539923870,00000551,false,Rx,0,8,79,CC,00,80,FF,02,80,FF,
539927957,00000176,false,Rx,0,7,00,00,02,31,00,00,0D,00,
539927970,00000002,false,Rx,0,5,0D,00,00,07,B1,00,00,00,
539932025,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539932039,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539936133,000001F9,false,Rx,0,8,28,00,13,D3,00,00,51,A8,
539936146,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
539936152,00000174,false,Rx,0,8,FF,EF,FE,AA,0E,00,00,00,
539940232,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
539940245,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,0E,00,
539940249,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E2,
539944345,000001F9,false,Rx,0,8,28,00,13,D3,00,00,51,A8,
539944366,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D5,40,
539948447,00000174,false,Rx,0,8,FF,EF,FE,AA,0F,00,00,00,
539948467,00000176,false,Rx,0,7,00,00,02,2D,00,00,0F,00,
539952537,00000002,false,Rx,0,5,0D,00,00,07,93,00,00,00,
539952553,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
539952559,00000174,false,Rx,0,8,FF,EF,FE,AA,0C,00,00,00,
539956612,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
539956628,00000174,false,Rx,0,8,FF,EF,FE,AA,00,00,00,00,
539960784,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539960797,00000176,false,Rx,0,7,00,00,02,31,00,00,00,00,
539964806,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539964819,00000580,false,Rx,0,5,00,78,40,B0,6D,00,00,00,
539964823,00000280,false,Rx,0,8,03,3D,C0,00,00,00,DD,40,
539968908,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
539968922,00000284,false,Rx,0,8,00,00,00,00,00,00,9A,20,
539973006,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539973018,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539977107,000001F9,false,Rx,0,8,28,00,13,D3,00,00,51,A8,
539977121,00000176,false,Rx,0,7,00,00,02,2F,00,00,02,00,
539977126,00000002,false,Rx,0,5,0D,00,00,07,C6,00,00,00,
539981185,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
539981199,00000180,false,Rx,0,8,13,D3,32,03,3D,00,37,11,
539985306,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
539985318,00000280,false,Rx,0,8,03,3F,C0,00,00,00,D7,40,
539989380,00000176,false,Rx,0,7,00,00,02,31,00,00,03,00,
539989394,00000002,false,Rx,0,5,0D,00,00,07,D7,00,00,00,
539989400,00000284,false,Rx,0,8,00,00,00,00,00,00,9B,21,
539993506,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
539993519,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
539997581,00000180,false,Rx,0,8,13,D3,32,03,3D,00,39,11,
539997595,00000174,false,Rx,0,8,FF,EF,FE,AA,04,00,00,00,
539997599,00000560,false,Rx,0,3,47,15,39,00,00,00,00,00,
540001688,00000354,false,Rx,0,8,00,00,00,00,00,00,14,00,
540001716,000001F9,false,Rx,0,8,28,00,13,D3,00,00,51,A8,
540005787,00000280,false,Rx,0,8,03,3D,C0,00,00,00,D9,40,
540005806,00000176,false,Rx,0,7,00,00,02,31,00,00,04,00,
540009892,00000174,false,Rx,0,8,FF,EF,FE,AA,05,00,00,00,
540009905,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
540014022,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
540014036,000001F9,false,Rx,0,8,28,00,13,D3,00,00,51,A8,
540018107,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
540018126,00000176,false,Rx,0,7,00,00,02,2D,00,00,05,00,
540018129,00000174,false,Rx,0,8,FF,EF,FE,AA,06,00,00,00,
540022258,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
540022273,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
540026298,00000551,false,Rx,0,8,79,CD,00,80,FF,02,80,FF,
540026313,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
540030404,00000174,false,Rx,0,8,FF,EF,FE,AA,07,00,00,00,
540030420,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
540030424,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
540034513,00000180,false,Rx,0,8,13,D3,32,13,3D,00,3E,11,
540034528,000001F9,false,Rx,0,8,28,00,13,D3,00,00,51,A8,
540038673,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
540038695,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E3,
540042716,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
540042731,00000176,false,Rx,0,7,00,00,02,2F,00,00,06,00,
540042735,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
540046849,00000280,false,Rx,0,8,03,3F,C0,00,00,00,D7,40,
540046871,00000176,false,Rx,0,7,00,00,02,2F,00,00,09,00,
540051343,00000002,false,Rx,0,5,0D,00,00,07,7D,00,00,00,
540051366,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
540051369,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
540055024,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
540055039,00000180,false,Rx,0,8,13,D3,32,03,3D,00,3F,11,
540059240,00000174,false,Rx,0,8,FF,EF,FE,AA,0A,00,00,00,
540059263,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
540063220,00000292,false,Rx,0,8,FF,F8,10,80,0F,FE,0F,00,
540063236,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
540067315,000001F9,false,Rx,0,8,28,00,13,D3,00,00,51,A8,
540067337,00000580,false,Rx,0,5,00,78,40,B2,6D,00,00,00,
540067340,00000174,false,Rx,0,8,FF,EF,FE,AA,0B,00,00,00,
540071391,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
540071408,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
540071411,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
540075513,00000180,false,Rx,0,8,13,D3,32,03,3D,00,32,11,
540075535,0000035D,false,Rx,0,8,80,03,00,00,10,00,00,00,
540080411,00000174,false,Rx,0,8,FF,EF,FE,AA,0C,00,00,00,
540080435,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
540083691,00000176,false,Rx,0,7,00,00,02,33,00,00,0A,00,
540083707,00000280,false,Rx,0,8,03,40,C0,00,00,00,DA,40,
540083710,000006E2,false,Rx,0,3,00,00,79,00,00,00,00,00,
540087799,00000176,false,Rx,0,7,00,00,02,31,00,00,0D,00,
540087816,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
540091861,00000285,false,Rx,0,8,00,00,00,00,00,00,A0,27,
540091877,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
540095978,00000180,false,Rx,0,8,13,D3,32,03,3D,00,34,11,
540096000,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
540100039,00000174,false,Rx,0,8,FF,EF,FE,AA,0E,00,00,00,
540100053,00000560,false,Rx,0,3,47,16,34,00,00,00,00,00,
540100057,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E2,
540104217,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
540104239,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D6,40,
540108297,000001F9,false,Rx,0,8,28,00,13,D3,00,00,51,A8,
540108313,00000174,false,Rx,0,8,FF,EF,FE,AA,0F,00,00,00,
540112335,00000625,false,Rx,0,6,02,E0,FF,1D,20,00,00,00,
540112356,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
540112359,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
540116443,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
540116466,00000182,false,Rx,0,8,00,00,00,00,00,16,40,CF,
540120543,000001F9,false,Rx,0,8,28,00,13,D3,00,00,51,A8,
540120559,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
540124663,00000160,false,Rx,0,7,33,D3,20,00,08,FF,E8,00,
540124684,00000280,false,Rx,0,8,03,3E,C0,00,00,00,DC,40,
540124688,00000551,false,Rx,0,8,79,CD,00,80,FF,02,80,FF,
540128780,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
540128801,00000285,false,Rx,0,8,00,00,00,00,00,00,A2,29,
540132858,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
540132874,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
540136962,00000182,false,Rx,0,8,00,00,00,00,00,18,40,CF,
540136985,000001F9,false,Rx,0,8,28,00,13,EC,00,00,51,A8,
540136988,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
540140982,00000292,false,Rx,0,8,FF,F8,0D,80,0F,FE,0F,00,
540141003,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
540145094,00000280,false,Rx,0,8,03,40,C0,00,00,00,D6,40,
